Kabupaten/Kota;01. Kab. Pacitan;02. Kab. Ponorogo;03. Kab. Trenggalek;04. Kab. Tulungagung;05. Kab. Blitar;06. Kab. Kediri;07. Kab. Malang;08. Kab. Lumajang;09. Kab. Jember;10. Kab. Banyuwangi;11. Kab. Bondowoso;12. Kab. Situbondo;13. Kab. Probolinggo;14. Kab. Pasuruan;15. Kab. Sidoarjo;16. Kab. Mojokerto;17. Kab. Jombang;18. Kab. Nganjuk;19. Kab. Madiun;20. Kab. Magetan;21. Kab. N g a w i;22. Kab. Bojonegoro;23. Kab. T u b a n;24. Kab. Lamongan;25. Kab. Gresik;26. Kab. Bangkalan;27. Kab. Sampang;28. Kab. Pamekasan;29. Kab. Sumenep;71. Kota Kediri;72. Kota Blitar;73. Kota Malang;74. Kota Probolinggo;75. Kota Pasuruan;76. Kota Mojokerto;77. Kota Madiun;78. Kota Surabaya;79. Kota Batu;JAWA TIMUR
2007;113019;131241;64147;137444;186678;296247;211327;120789;289717;99741;108013;173691;211540;106747;144;74406;147315;131392;20330;69141;57471;95187;360365;253588;106036;140984;141679;76339;298880;4943;3718;821;14955;130;67;;484;3466;4252182
2008;120779;146543;55060;139224;252595;247242;257404;115592;293181;133892;167095;249749;249016;161857;233;93018;211081;156745;32570;80718;74951;121678;490068;318594;119553;148463;176095;92443;314855;4125;5032;1001;17605;198;84;;546;4222;5053107
2009;77423;189152;65215;149418;213878;262542;303940;112235;320208;163769;164701;273592;267289;145228;463;114119;174978;162296;50731;59765;81745;218322;487025;339363;98614;151933;116462;114856;353022;4381;4260;1182;18897;177;103;;450;4986;5266720
2010;132294;185181;59096;53408;256163;292561;314072;147403;369319;218973;172586;207629;302078;148210;969;146877;194720;201067;55018;74957;88773;178965;438888;279041;111873;159748;120285;110494;529258;4600;4864;1403;20268;194;113;;494;5476;5587318
2011;91521;171036;64970;151730;235543;262405;297302;161552;404403;178683;209137;206315;272464;178343;537;116801;185524;239197;39041;82707;100236;155396;480822;280650;93869;174455;113265;147192;310056;6217;7354;867;20749;;30;;661;2675;5443705
2012;147641;243408;74238;232657;317255;316025;272764;190905;418141;133402;182305;257174;345079;199534;799;135107;242795;267650;33472;77064;111907;171877;515919;348883;155010;120993;161738;150308;420796;6887;6932;916;32342;;;;493;2885;6295301
2013;102294;246564;59444;262850;273529;300068;306479;167234;384881;120911;179348;301733;318557;215836;446;122617;197353;235951;29029;76738;143718;166519;431786;261706;121085;127527;108645;95338;359689;6020;8340;937;26682;;;;222;884;5760959
2014;101887;193720;76415;256180;321769;318023;285630;135772;390759;137031;154920;265725;233783;233623;217;109252;233448;213160;30560;79210;169113;190611;454782;316607;120364;136712;95332;113245;324330;5713;9318;620;27786;;30;;316;1419;5737382
2015;100013;238283;90076;324452;360357;362501;287175;134493;427064;183612;132846;241091;207461;250518;687;125882;211164;241546;38187;85859;188653;225553;506966;290920;112451;132884;98332;93793;396067;5577;8874;640;25146;;36;32;917;1055;6131163
2016;130996;259501;75717;296497;316797;309751;344140;112767;402031;213909;114518;271852;272669;272838;681;131135;241325;164945;40867;104272;209954;224644;526515;378977;115915;144771;79165;135987;339183;4213;9007;412;31099;;;;258;956;
2017;97446;220705;67642;269528;312385;345757;260458;137507;471285;207513;130516;248421;270441;284785;1415;151967;254234;208248;52277;96326;170879;204026;627283;426133;139513;132602;92242;87668;325326;6514;8163;238;24655;;;;307;847;
